Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Grunddurchgang,21,Sun Mar 1 2020,SKN St. Pölten,0-4,Wolfsberger AC,2020,Mar,1,1/Mar/2020,Sun,4,0,4,Wolfsberger AC
Grunddurchgang,21,Sun Mar 1 2020,LASK Linz,05-Jan,TSV Hartberg,2020,Mar,1,1/Mar/2020,Sun,6,5,1,LASK Linz
Grunddurchgang,21,Sun Mar 1 2020,SK Rapid Wien,03-Jan,SV Mattersburg,2020,Mar,1,1/Mar/2020,Sun,4,3,1,SK Rapid Wien
Grunddurchgang,21,Mon Mar 2 2020,SCR Altach,03-Feb,FC RB Salzburg,2020,Mar,2,2/Mar/2020,Mon,5,3,2,SCR Altach
Grunddurchgang,22,Sat Mar 7 2020,Wolfsberger AC,02-Feb,SK Rapid Wien,2020,Mar,7,7/Mar/2020,Sat,4,2,2,Draw
Grunddurchgang,22,Sat Mar 7 2020,FK Austria Wien,0-0,SKN St. Pölten,2020,Mar,7,7/Mar/2020,Sat,0,0,0,Draw
Grunddurchgang,22,Sat Mar 7 2020,TSV Hartberg,0-3,WSG Tirol,2020,Mar,7,7/Mar/2020,Sat,3,0,3,WSG Tirol
Grunddurchgang,22,Sat Mar 7 2020,FC Admira Wacker Mödling,2-0,SCR Altach,2020,Mar,7,7/Mar/2020,Sat,2,2,0,FC Admira Wacker Mödling
Grunddurchgang,22,Sun Mar 8 2020,FC RB Salzburg,2-0,SK Sturm Graz,2020,Mar,8,8/Mar/2020,Sun,2,2,0,FC RB Salzburg
Grunddurchgang,22,Sun Mar 8 2020,SV Mattersburg,0-1,LASK Linz,2020,Mar,8,8/Mar/2020,Sun,1,0,1,LASK Linz
Finaldurchgang - Qualifikation,23,Tue Jun 2 2020,WSG Tirol,0-5,SKN St. Pölten,2020,Jun,2,2/Jun/2020,Tue,5,0,5,SKN St. Pölten
Finaldurchgang - Qualifikation,23,Tue Jun 2 2020,SV Mattersburg,01-Jan,SCR Altach,2020,Jun,2,2/Jun/2020,Tue,2,1,1,Draw
