Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
11,Sun Oct 13 2019,Albacete Balompié,01-Feb,Real Oviedo,2019,Oct,13,13/Oct/2019,Sun,3,1,2,Real Oviedo
11,Sun Oct 13 2019,UD Las Palmas,3-0,RCD La Coruña,2019,Oct,13,13/Oct/2019,Sun,3,3,0,UD Las Palmas
6,Wed Oct 16 2019,CF Fuenlabrada,02-Jan,Real Zaragoza,2019,Oct,16,16/Oct/2019,Wed,3,2,1,CF Fuenlabrada
12,Fri Oct 18 2019,Cádiz CF,2-0,UD Las Palmas,2019,Oct,18,18/Oct/2019,Fri,2,2,0,Cádiz CF
12,Sat Oct 19 2019,AD Alcorcón,02-Feb,UD Almería,2019,Oct,19,19/Oct/2019,Sat,4,2,2,Draw
12,Sat Oct 19 2019,SD Ponferradina,01-Jan,CD Numancia,2019,Oct,19,19/Oct/2019,Sat,2,1,1,Draw
12,Sat Oct 19 2019,Elche CF,0-1,Sporting Gijón,2019,Oct,19,19/Oct/2019,Sat,1,0,1,Sporting Gijón
12,Sat Oct 19 2019,CD Lugo,03-Feb,SD Huesca,2019,Oct,19,19/Oct/2019,Sat,5,3,2,CD Lugo
12,Sat Oct 19 2019,Extremadura UD,0-3,Rayo Vallecano,2019,Oct,19,19/Oct/2019,Sat,3,0,3,Rayo Vallecano
12,Sun Oct 20 2019,CF Fuenlabrada,0-1,Albacete Balompié,2019,Oct,20,20/Oct/2019,Sun,1,0,1,Albacete Balompié
12,Sun Oct 20 2019,RCD La Coruña,0-2,Málaga CF,2019,Oct,20,20/Oct/2019,Sun,2,0,2,Málaga CF
12,Sun Oct 20 2019,Real Oviedo,04-Feb,Girona FC,2019,Oct,20,20/Oct/2019,Sun,6,4,2,Real Oviedo
12,Sun Oct 20 2019,CD Tenerife,03-Mar,Real Racing Santander,2019,Oct,20,20/Oct/2019,Sun,6,3,3,Draw
12,Sun Oct 20 2019,Real Zaragoza,01-Feb,CD Mirandés,2019,Oct,20,20/Oct/2019,Sun,3,1,2,CD Mirandés
13,Fri Oct 25 2019,Albacete Balompié,1-0,Cádiz CF,2019,Oct,25,25/Oct/2019,Fri,1,1,0,Albacete Balompié
13,Sat Oct 26 2019,Rayo Vallecano,01-Mar,SD Ponferradina,2019,Oct,26,26/Oct/2019,Sat,4,1,3,SD Ponferradina
13,Sat Oct 26 2019,Real Racing Santander,01-Jan,RCD La Coruña,2019,Oct,26,26/Oct/2019,Sat,2,1,1,Draw
13,Sat Oct 26 2019,CD Mirandés,0-0,CD Tenerife,2019,Oct,26,26/Oct/2019,Sat,0,0,0,Draw
13,Sat Oct 26 2019,Málaga CF,02-Jan,Real Oviedo,2019,Oct,26,26/Oct/2019,Sat,3,2,1,Málaga CF
13,Sat Oct 26 2019,CD Numancia,03-Jan,CD Lugo,2019,Oct,26,26/Oct/2019,Sat,4,3,1,CD Numancia
13,Sun Oct 27 2019,Girona FC,0-0,AD Alcorcón,2019,Oct,27,27/Oct/2019,Sun,0,0,0,Draw
13,Sun Oct 27 2019,Sporting Gijón,4-0,Real Zaragoza,2019,Oct,27,27/Oct/2019,Sun,4,4,0,Sporting Gijón
13,Sun Oct 27 2019,SD Huesca,2-0,Elche CF,2019,Oct,27,27/Oct/2019,Sun,2,2,0,SD Huesca
13,Sun Oct 27 2019,UD Las Palmas,01-Mar,CF Fuenlabrada,2019,Oct,27,27/Oct/2019,Sun,4,1,3,CF Fuenlabrada
13,Sun Oct 27 2019,UD Almería,03-Feb,Extremadura UD,2019,Oct,27,27/Oct/2019,Sun,5,3,2,UD Almería
14,Fri Nov 1 2019,CD Numancia,1-0,Albacete Balompié,2019,Nov,1,1/Nov/2019,Fri,1,1,0,CD Numancia
14,Fri Nov 1 2019,Cádiz CF,03-Jan,Sporting Gijón,2019,Nov,1,1/Nov/2019,Fri,4,3,1,Cádiz CF
14,Fri Nov 1 2019,SD Ponferradina,1-0,Málaga CF,2019,Nov,1,1/Nov/2019,Fri,1,1,0,SD Ponferradina
14,Fri Nov 1 2019,Real Oviedo,0-0,UD Almería,2019,Nov,1,1/Nov/2019,Fri,0,0,0,Draw
14,Sat Nov 2 2019,CF Fuenlabrada,01-Jan,RCD La Coruña,2019,Nov,2,2/Nov/2019,Sat,2,1,1,Draw
14,Sat Nov 2 2019,AD Alcorcón,1-0,Real Racing Santander,2019,Nov,2,2/Nov/2019,Sat,1,1,0,AD Alcorcón
14,Sat Nov 2 2019,CD Tenerife,0-0,SD Huesca,2019,Nov,2,2/Nov/2019,Sat,0,0,0,Draw
14,Sun Nov 3 2019,Extremadura UD,01-Mar,Girona FC,2019,Nov,3,3/Nov/2019,Sun,4,1,3,Girona FC
14,Sun Nov 3 2019,CD Lugo,1-0,Rayo Vallecano,2019,Nov,3,3/Nov/2019,Sun,1,1,0,CD Lugo
14,Sun Nov 3 2019,Real Zaragoza,3-0,UD Las Palmas,2019,Nov,3,3/Nov/2019,Sun,3,3,0,Real Zaragoza
14,Sun Nov 3 2019,Elche CF,04-Feb,CD Mirandés,2019,Nov,3,3/Nov/2019,Sun,6,4,2,Elche CF
15,Fri Nov 8 2019,Girona FC,1-0,CD Tenerife,2019,Nov,8,8/Nov/2019,Fri,1,1,0,Girona FC
15,Sat Nov 9 2019,SD Huesca,03-Jan,Real Oviedo,2019,Nov,9,9/Nov/2019,Sat,4,3,1,SD Huesca
15,Sat Nov 9 2019,CD Mirandés,2-0,Extremadura UD,2019,Nov,9,9/Nov/2019,Sat,2,2,0,CD Mirandés
