Country,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
,27,Fri Apr 8 2011,Wolfsberger AC,0-0,TSV Hartberg,2011,Apr,8,8/Apr/2011,Fri,0,0,0,Draw
,27,Fri Apr 8 2011,First Vienna FC,3-0,Austria Lustenau,2011,Apr,8,8/Apr/2011,Fri,3,3,0,First Vienna FC
,27,Fri Apr 8 2011,SV Grödig,03-Jan,FC Admira Wacker Mödling,2011,Apr,8,8/Apr/2011,Fri,4,3,1,SV Grödig
,28,Mon Apr 11 2011,FC Gratkorn,0-2,SCR Altach,2011,Apr,11,11/Apr/2011,Mon,2,0,2,SCR Altach
,28,Tue Apr 12 2011,SKN St. Pölten,1-0,FC Lustenau 07,2011,Apr,12,12/Apr/2011,Tue,1,1,0,SKN St. Pölten
,28,Tue Apr 12 2011,Austria Lustenau,03-Feb,First Vienna FC,2011,Apr,12,12/Apr/2011,Tue,5,3,2,Austria Lustenau
,28,Tue Apr 12 2011,TSV Hartberg,2-0,Wolfsberger AC,2011,Apr,12,12/Apr/2011,Tue,2,2,0,TSV Hartberg
,28,Tue Apr 12 2011,FC Admira Wacker Mödling,01-Jan,SV Grödig,2011,Apr,12,12/Apr/2011,Tue,2,1,1,Draw
,29,Fri Apr 15 2011,SKN St. Pölten,0-0,FC Gratkorn,2011,Apr,15,15/Apr/2011,Fri,0,0,0,Draw
,29,Fri Apr 15 2011,SCR Altach,01-Feb,TSV Hartberg,2011,Apr,15,15/Apr/2011,Fri,3,1,2,TSV Hartberg
,29,Fri Apr 15 2011,SV Grödig,02-Feb,Austria Lustenau,2011,Apr,15,15/Apr/2011,Fri,4,2,2,Draw
,29,Fri Apr 15 2011,FC Lustenau 07,0-1,First Vienna FC,2011,Apr,15,15/Apr/2011,Fri,1,0,1,First Vienna FC
,29,Fri Apr 15 2011,Wolfsberger AC,5-0,FC Admira Wacker Mödling,2011,Apr,15,15/Apr/2011,Fri,5,5,0,Wolfsberger AC
,30,Mon Apr 25 2011,FC Admira Wacker Mödling,01-Jan,SCR Altach,2011,Apr,25,25/Apr/2011,Mon,2,1,1,Draw
,30,Tue Apr 26 2011,FC Gratkorn,03-Apr,FC Lustenau 07,2011,Apr,26,26/Apr/2011,Tue,7,3,4,FC Lustenau 07
,30,Tue Apr 26 2011,TSV Hartberg,0-0,SKN St. Pölten,2011,Apr,26,26/Apr/2011,Tue,0,0,0,Draw
,30,Tue Apr 26 2011,Austria Lustenau,3-0,Wolfsberger AC,2011,Apr,26,26/Apr/2011,Tue,3,3,0,Austria Lustenau
,30,Tue Apr 26 2011,First Vienna FC,0-0,SV Grödig,2011,Apr,26,26/Apr/2011,Tue,0,0,0,Draw
,31,Fri Apr 29 2011,FC Gratkorn,03-Jan,TSV Hartberg,2011,Apr,29,29/Apr/2011,Fri,4,3,1,FC Gratkorn
,31,Fri Apr 29 2011,SCR Altach,02-Jan,Austria Lustenau,2011,Apr,29,29/Apr/2011,Fri,3,2,1,SCR Altach
,31,Fri Apr 29 2011,SKN St. Pölten,1-0,FC Admira Wacker Mödling,2011,Apr,29,29/Apr/2011,Fri,1,1,0,SKN St. Pölten
,31,Fri Apr 29 2011,FC Lustenau 07,2-0,SV Grödig,2011,Apr,29,29/Apr/2011,Fri,2,2,0,FC Lustenau 07
,31,Fri Apr 29 2011,Wolfsberger AC,1-0,First Vienna FC,2011,Apr,29,29/Apr/2011,Fri,1,1,0,Wolfsberger AC
,32,Fri May 6 2011,Austria Lustenau,0-3,SKN St. Pölten,2011,May,6,6/May/2011,Fri,3,0,3,SKN St. Pölten
,32,Fri May 6 2011,FC Admira Wacker Mödling,07-Mar,FC Gratkorn,2011,May,6,6/May/2011,Fri,10,7,3,FC Admira Wacker Mödling
,32,Fri May 6 2011,SV Grödig,02-Jan,Wolfsberger AC,2011,May,6,6/May/2011,Fri,3,2,1,SV Grödig
,32,Fri May 6 2011,First Vienna FC,01-Jan,SCR Altach,2011,May,6,6/May/2011,Fri,2,1,1,Draw
,32,Fri May 6 2011,TSV Hartberg,01-Jan,FC Lustenau 07,2011,May,6,6/May/2011,Fri,2,1,1,Draw
,33,Fri May 13 2011,SCR Altach,3-0,SV Grödig,2011,May,13,13/May/2011,Fri,3,3,0,SCR Altach
,33,Fri May 13 2011,FC Gratkorn,02-Jan,Austria Lustenau,2011,May,13,13/May/2011,Fri,3,2,1,FC Gratkorn
,33,Fri May 13 2011,SKN St. Pölten,01-Jan,First Vienna FC,2011,May,13,13/May/2011,Fri,2,1,1,Draw
,33,Fri May 13 2011,FC Lustenau 07,0-0,Wolfsberger AC,2011,May,13,13/May/2011,Fri,0,0,0,Draw
,33,Fri May 13 2011,TSV Hartberg,01-Feb,FC Admira Wacker Mödling,2011,May,13,13/May/2011,Fri,3,1,2,FC Admira Wacker Mödling
,34,Mon May 16 2011,First Vienna FC,03-Jan,FC Gratkorn,2011,May,16,16/May/2011,Mon,4,3,1,First Vienna FC
,34,Tue May 17 2011,SV Grödig,02-Feb,SKN St. Pölten,2011,May,17,17/May/2011,Tue,4,2,2,Draw
,34,Tue May 17 2011,Austria Lustenau,02-Feb,TSV Hartberg,2011,May,17,17/May/2011,Tue,4,2,2,Draw
,34,Tue May 17 2011,Wolfsberger AC,0-0,SCR Altach,2011,May,17,17/May/2011,Tue,0,0,0,Draw
