Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Goals,Team 1 Goals,Team 2 Goals,Result,,
Belgium,Regular Season,15,Sun Nov 11 2018,Royal Excel Mouscron,0-0,KRC Genk,2018,Nov,11,11/Nov/2018,Sun,0,0,0,Draw,,
Belgium,Regular Season,15,Sun Nov 11 2018,KV Kortrijk,0-2,Standard Liège,2018,Nov,11,11/Nov/2018,Sun,2,0,2,Standard Liège,,
Belgium,Regular Season,15,Sun Nov 11 2018,RSC Anderlecht,2-0,KAA Gent,2018,Nov,11,11/Nov/2018,Sun,2,2,0,RSC Anderlecht,,
Belgium,Regular Season,16,Fri Nov 23 2018,Club Brugge,1-3,SV Zulte Waregem,2018,Nov,23,23/Nov/2018,Fri,4,1,3,SV Zulte Waregem,,
Belgium,Regular Season,16,Sat Nov 24 2018,Standard Liège,3-0,KAS Eupen,2018,Nov,24,24/Nov/2018,Sat,3,3,0,Standard Liège,,
Belgium,Regular Season,16,Sat Nov 24 2018,KV Oostende,1-2,KV Kortrijk,2018,Nov,24,24/Nov/2018,Sat,3,1,2,KV Kortrijk,,
Belgium,Regular Season,16,Sat Nov 24 2018,KRC Genk,1-2,Cercle Brugge,2018,Nov,24,24/Nov/2018,Sat,3,1,2,Cercle Brugge,,
Belgium,Regular Season,16,Sat Nov 24 2018,Waasland-Beveren,1-2,Royal Excel Mouscron,2018,Nov,24,24/Nov/2018,Sat,3,1,2,Royal Excel Mouscron,,
Belgium,Regular Season,16,Sun Nov 25 2018,KAA Gent,0-0,Royal Antwerp FC,2018,Nov,25,25/Nov/2018,Sun,0,0,0,Draw,,
Belgium,Regular Season,16,Sun Nov 25 2018,KSC Lokeren OV,2-4,Sporting Charleroi,2018,Nov,25,25/Nov/2018,Sun,6,2,4,Sporting Charleroi,,
Belgium,Regular Season,16,Sun Nov 25 2018,Sint-Truidense VV,4-2,RSC Anderlecht,2018,Nov,25,25/Nov/2018,Sun,6,4,2,Sint-Truidense VV,,
Belgium,Regular Season,17,Fri Nov 30 2018,KSC Lokeren OV,2-2,KAA Gent,2018,Nov,30,30/Nov/2018,Fri,4,2,2,Draw,,
Belgium,Regular Season,17,Sat Dec 1 2018,Sporting Charleroi,3-1,Cercle Brugge,2018,Dec,1,1/Dec/2018,Sat,4,3,1,Sporting Charleroi,,
Belgium,Regular Season,17,Sat Dec 1 2018,KV Kortrijk,1-0,Royal Excel Mouscron,2018,Dec,1,1/Dec/2018,Sat,1,1,0,KV Kortrijk,,
Belgium,Regular Season,17,Sat Dec 1 2018,Royal Antwerp FC,1-3,Sint-Truidense VV,2018,Dec,1,1/Dec/2018,Sat,4,1,3,Sint-Truidense VV,,
Belgium,Regular Season,17,Sat Dec 1 2018,SV Zulte Waregem,1-1,KV Oostende,2018,Dec,1,1/Dec/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,17,Sun Dec 2 2018,Club Brugge,3-0,Standard Liège,2018,Dec,2,2/Dec/2018,Sun,3,3,0,Club Brugge,,
Belgium,Regular Season,17,Sun Dec 2 2018,KAS Eupen,1-0,Waasland-Beveren,2018,Dec,2,2/Dec/2018,Sun,1,1,0,KAS Eupen,,
Belgium,Regular Season,17,Sun Dec 2 2018,RSC Anderlecht,0-1,KRC Genk,2018,Dec,2,2/Dec/2018,Sun,1,0,1,KRC Genk,,
Belgium,Regular Season,18,Fri Dec 7 2018,Waasland-Beveren,2-1,Club Brugge,2018,Dec,7,7/Dec/2018,Fri,3,2,1,Waasland-Beveren,,
Belgium,Regular Season,18,Sat Dec 8 2018,Sint-Truidense VV,1-1,Standard Liège,2018,Dec,8,8/Dec/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,18,Sat Dec 8 2018,KRC Genk,1-1,KV Kortrijk,2018,Dec,8,8/Dec/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,18,Sat Dec 8 2018,KV Oostende,1-0,KSC Lokeren OV,2018,Dec,8,8/Dec/2018,Sat,1,1,0,KV Oostende,,
Belgium,Regular Season,18,Sat Dec 8 2018,Royal Excel Mouscron,0-0,SV Zulte Waregem,2018,Dec,8,8/Dec/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,18,Sun Dec 9 2018,Cercle Brugge,0-3,Royal Antwerp FC,2018,Dec,9,9/Dec/2018,Sun,3,0,3,Royal Antwerp FC,,
Belgium,Regular Season,18,Sun Dec 9 2018,RSC Anderlecht,1-1,Sporting Charleroi,2018,Dec,9,9/Dec/2018,Sun,2,1,1,Draw,,
Belgium,Regular Season,18,Sun Dec 9 2018,KAA Gent,2-0,KAS Eupen,2018,Dec,9,9/Dec/2018,Sun,2,2,0,KAA Gent,,
Belgium,Regular Season,19,Fri Dec 14 2018,Sporting Charleroi,2-0,KAA Gent,2018,Dec,14,14/Dec/2018,Fri,2,2,0,Sporting Charleroi,,
Belgium,Regular Season,19,Sat Dec 15 2018,KV Kortrijk,0-0,Club Brugge,2018,Dec,15,15/Dec/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,19,Sat Dec 15 2018,KAS Eupen,1-0,Royal Excel Mouscron,2018,Dec,15,15/Dec/2018,Sat,1,1,0,KAS Eupen,,
Belgium,Regular Season,19,Sat Dec 15 2018,Royal Antwerp FC,0-2,Waasland-Beveren,2018,Dec,15,15/Dec/2018,Sat,2,0,2,Waasland-Beveren,,
Belgium,Regular Season,19,Sat Dec 15 2018,KSC Lokeren OV,2-0,Sint-Truidense VV,2018,Dec,15,15/Dec/2018,Sat,2,2,0,KSC Lokeren OV,,
Belgium,Regular Season,19,Sun Dec 16 2018,Cercle Brugge,2-1,RSC Anderlecht,2018,Dec,16,16/Dec/2018,Sun,3,2,1,Cercle Brugge,,
Belgium,Regular Season,19,Sun Dec 16 2018,KRC Genk,2-0,KV Oostende,2018,Dec,16,16/Dec/2018,Sun,2,2,0,KRC Genk,,
Belgium,Regular Season,19,Sun Dec 16 2018,Standard Liège,4-1,SV Zulte Waregem,2018,Dec,16,16/Dec/2018,Sun,5,4,1,Standard Liège,,
Belgium,Regular Season,20,Fri Dec 21 2018,KAA Gent,4-1,Cercle Brugge,2018,Dec,21,21/Dec/2018,Fri,5,4,1,KAA Gent,,
Belgium,Regular Season,20,Sat Dec 22 2018,Royal Excel Mouscron,3-1,RSC Anderlecht,2018,Dec,22,22/Dec/2018,Sat,4,3,1,Royal Excel Mouscron,,
Belgium,Regular Season,20,Sat Dec 22 2018,Standard Liège,3-1,KV Oostende,2018,Dec,22,22/Dec/2018,Sat,4,3,1,Standard Liège,,
Belgium,Regular Season,20,Sat Dec 22 2018,Sint-Truidense VV,0-0,KV Kortrijk,2018,Dec,22,22/Dec/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,20,Sat Dec 22 2018,Waasland-Beveren,2-1,KSC Lokeren OV,2018,Dec,22,22/Dec/2018,Sat,3,2,1,Waasland-Beveren,,
Belgium,Regular Season,20,Sun Dec 23 2018,Club Brugge,5-1,Royal Antwerp FC,2018,Dec,23,23/Dec/2018,Sun,6,5,1,Club Brugge,,
Belgium,Regular Season,20,Sun Dec 23 2018,SV Zulte Waregem,3-1,Sporting Charleroi,2018,Dec,23,23/Dec/2018,Sun,4,3,1,SV Zulte Waregem,,
Belgium,Regular Season,20,Sun Dec 23 2018,KAS Eupen,0-2,KRC Genk,2018,Dec,23,23/Dec/2018,Sun,2,0,2,KRC Genk,,
